path,similarity.max_token_overlap_ratio,validation.dup_candidate_threshold,validation.dup_candidate_warn_max_share
lanes/lane_01_identity/lane_de.yaml,0.3,0.3,0.35
lanes/lane_01_identity/lane_en.yaml,0.3,0.3,0.35
lanes/lane_01_identity/lane_es.yaml,0.3,0.3,0.35
lanes/lane_01_identity/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_01_identity/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_01_identity/lane_it.yaml,0.3,0.3,0.35
lanes/lane_01_identity/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_01_identity/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_01_identity/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_01_identity/lane_th.yaml,0.3,0.3,0.35
lanes/lane_01_identity/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_01_identity/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_01_identity/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_01_identity/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_02_tone_behaviour_foundation/lane_de.yaml,0.3,0.3,0.35
lanes/lane_02_tone_behaviour_foundation/lane_en.yaml,0.3,0.3,0.35
lanes/lane_02_tone_behaviour_foundation/lane_es.yaml,0.3,0.3,0.35
lanes/lane_02_tone_behaviour_foundation/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_02_tone_behaviour_foundation/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_02_tone_behaviour_foundation/lane_it.yaml,0.3,0.3,0.35
lanes/lane_02_tone_behaviour_foundation/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_02_tone_behaviour_foundation/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_02_tone_behaviour_foundation/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_02_tone_behaviour_foundation/lane_th.yaml,0.3,0.3,0.35
lanes/lane_02_tone_behaviour_foundation/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_02_tone_behaviour_foundation/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_02_tone_behaviour_foundation/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_02_tone_behaviour_foundation/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_de.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_en.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_es.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_it.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_th.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_yaml/lane_de.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_yaml/lane_en.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_yaml/lane_es.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_yaml/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_yaml/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_yaml/lane_it.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_yaml/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_yaml/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_yaml/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_yaml/lane_th.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_yaml/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_yaml/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_yaml/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_yaml/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_03_think_mode/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_04_quick_mode/lane_de.yaml,0.3,0.3,0.35
lanes/lane_04_quick_mode/lane_en.yaml,0.3,0.3,0.35
lanes/lane_04_quick_mode/lane_es.yaml,0.3,0.3,0.35
lanes/lane_04_quick_mode/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_04_quick_mode/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_04_quick_mode/lane_it.yaml,0.3,0.3,0.35
lanes/lane_04_quick_mode/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_04_quick_mode/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_04_quick_mode/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_04_quick_mode/lane_th.yaml,0.3,0.3,0.35
lanes/lane_04_quick_mode/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_04_quick_mode/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_04_quick_mode/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_04_quick_mode/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_05_conversation_mode/lane_de.yaml,0.3,0.3,0.35
lanes/lane_05_conversation_mode/lane_en.yaml,0.3,0.3,0.35
lanes/lane_05_conversation_mode/lane_es.yaml,0.3,0.3,0.35
lanes/lane_05_conversation_mode/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_05_conversation_mode/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_05_conversation_mode/lane_it.yaml,0.3,0.3,0.35
lanes/lane_05_conversation_mode/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_05_conversation_mode/lane_ko.yaml,0.3,0.3,0.35
